Date,price,open,high,low,Vol,Change_perc
Dec 28,1313.70,1311.00,1313.90,1309.20,0.62K,0.14%
Dec 27,1311.90,1304.00,1312.30,1300.30,0.21K,0.63%
Dec 26,1303.70,1299.00,1312.80,1298.70,0.26K,2.59%
Dec 25,1270.75,1272.50,1274.55,1270.65,-,-2.43%
Dec 24,1302.40,1292.50,1303.80,1292.50,0.16K,1.07%
Dec 21,1288.60,1295.50,1295.50,1287.90,0.43K,-0.77%
Dec 20,1298.60,1279.30,1300.00,1279.20,0.54K,0.92%
Dec 19,1286.80,1283.90,1289.40,1276.10,0.25K,0.22%
Dec 18,1284.00,1282.70,1284.60,1280.70,1.75K,0.11%
Dec 17,1282.60,1271.40,1282.00,1270.20,0.44K,0.82%
Dec 14,1272.20,1277.10,1277.10,1267.50,0.34K,-0.48%
Dec 13,1278.40,1281.20,1281.90,1276.90,0.16K,-0.20%
Dec 12,1281.00,1280.00,1282.60,1279.80,0.43K,0.23%
Dec 11,1278.10,1279.80,1285.00,1277.10,0.29K,-0.15%
Dec 10,1280.00,1283.80,1283.80,1279.60,0.68K,-0.28%
Dec 07,1283.60,1273.60,1286.60,1273.50,0.53K,0.73%
Dec 06,1274.30,1273.00,1279.20,1271.20,0.59K,0.07%
Dec 05,1273.40,1273.50,1273.50,1269.70,0.21K,-0.31%
Dec 04,1277.40,1271.00,1277.50,1271.00,0.27K,0.57%
Dec 03,1270.20,1260.60,1271.00,1260.30,0.18K,1.09%
Nov 30,1256.50,1257.40,1257.70,1255.30,0.26K,-0.34%
Nov 29,1260.80,1261.10,1264.10,1259.00,0.17K,0.05%
Nov 28,1260.20,1250.90,1261.30,1247.70,0.52K,0.78%
Nov 27,1250.40,1258.00,1260.00,1248.90,0.43K,-0.74%
Nov 26,1259.70,1260.10,1263.90,1259.40,1.45K,-0.02%
Nov 23,1260.00,1265.20,1265.50,1257.80,0.64K,2.61%
Nov 22,1228.00,1226.40,1229.70,1225.50,-,-2.90%
Nov 21,1264.70,1261.30,1265.40,1260.60,0.34K,0.57%
Nov 20,1257.50,1261.90,1262.60,1258.20,0.37K,-0.32%
Nov 19,1261.60,1257.60,1261.00,1257.00,2.39K,0.21%
Nov 16,1259.00,1253.30,1260.60,1253.30,0.22K,0.58%
Nov 15,1251.70,1249.60,1252.30,1245.50,0.14K,0.44%
Nov 14,1246.20,1234.20,1251.30,1234.00,0.33K,0.70%
Nov 13,1237.50,1239.70,1240.80,1232.50,1.37K,-0.17%
Nov 12,1239.60,1243.40,1244.40,1237.70,0.61K,-0.43%
Nov 09,1245.00,1252.70,1252.70,1243.90,0.46K,-1.35%
Nov 08,1262.00,1262.70,1263.70,1258.00,0.46K,-0.27%
Nov 07,1265.40,1265.30,1273.00,1262.00,0.57K,0.19%
Nov 06,1263.00,1273.50,1273.50,1262.90,0.24K,-0.47%
Nov 05,1269.00,1269.90,1270.80,1266.50,0.19K,-0.07%
Nov 02,1269.90,1271.00,1273.90,1268.40,1.29K,-0.38%
Nov 01,1274.80,1255.30,1272.00,1255.30,0.20K,1.92%
Oct 31,1250.80,1260.40,1260.40,1250.00,0.96K,-0.85%
Oct 30,1261.50,1263.70,1263.70,1257.40,0.13K,-0.17%
Oct 29,1263.70,1272.20,1272.20,1263.90,0.26K,-0.68%
Oct 26,1272.30,1270.70,1281.30,1270.00,0.54K,0.26%
Oct 25,1269.00,1276.50,1277.50,1267.70,0.48K,0.11%
Oct 24,1267.60,1271.80,1271.80,1269.50,0.34K,-0.46%
Oct 23,1273.50,1269.90,1276.40,1269.90,0.05K,0.97%
Oct 22,1261.30,1266.90,1266.90,1259.70,0.14K,-0.32%
Oct 19,1265.30,1268.50,1268.50,1265.50,0.04K,-0.10%
Oct 18,1266.60,1262.70,1267.30,1261.30,0.04K,0.25%
Oct 17,1263.40,1260.40,1268.60,1260.40,0.30K,-0.31%
Oct 16,1267.30,1269.40,1269.40,1268.40,0.12K,0.03%
Oct 15,1266.90,1258.90,1272.90,1258.90,0.19K,0.70%
